in_nombre,sector,SECTOR_ECONOMICO,PRODUCTO
AGROALIMENTACIÓN,Alimentación,"Alimentación, Bebidas Y Tabaco","ANIMALES DE RAZA, PARA REPRODUCCION"
AGROALIMENTACIÓN,Alimentación,"Alimentación, Bebidas Y Tabaco",EXCEPTO LOS ANIMALES DE RAZA PARA REPRODUCCION
AGROALIMENTACIÓN,Alimentación,"Alimentación, Bebidas Y Tabaco",GANADO OVINO VIVO
AGROALIMENTACIÓN,Alimentación,"Alimentación, Bebidas Y Tabaco",GANADO CAPRINO VIVO
AGROALIMENTACIÓN,Alimentación,"Alimentación, Bebidas Y Tabaco","ANIMALES DE RAZA, PARA REPRODUCCION"
AGROALIMENTACIÓN,Alimentación,"Alimentación, Bebidas Y Tabaco",EXCEPTO LOS ANIMALES DE RAZA PARA REPRODUCCION
AGROALIMENTACIÓN,Alimentación,"Alimentación, Bebidas Y Tabaco","AVES CORRAL VIVAS (AVES DE LA ESPECIE GALLUS DOMESTICUS,PATOS,ETC) DE =< 185 GRS"
AGROALIMENTACIÓN,Alimentación,"Alimentación, Bebidas Y Tabaco","AVES CORRAL VIVAS (AVES DE LA ESPECIE GALLUS DOMESTICUS,PATOS,ETC) DE > 185 GRS."
AGROALIMENTACIÓN,Alimentación,"Alimentación, Bebidas Y Tabaco","CABALLOS, ASNOS, MULAS Y BURDÉGANOS, VIVOS"
AGROALIMENTACIÓN,Alimentación,"Alimentación, Bebidas Y Tabaco",CABALLOS
AGROALIMENTACIÓN,Alimentación,"Alimentación, Bebidas Y Tabaco","ASNOS, MULAS Y BURDEGANOS"
AGROALIMENTACIÓN,Alimentación,"Alimentación, Bebidas Y Tabaco","ANIMALES VIVOS, N.E.P."
AGROALIMENTACIÓN,Alimentación,"Alimentación, Bebidas Y Tabaco","CARNE DE GANADO BOVINO, FRESCA O REFRIGERADA, CON HUESO"
AGROALIMENTACIÓN,Alimentación,"Alimentación, Bebidas Y Tabaco","CARNE DE GANADO BOVINO, FRESCA O REFRIGERADA, DESHUESADA"
AGROALIMENTACIÓN,Alimentación,"Alimentación, Bebidas Y Tabaco","CARNE DE GANADO BOVINO, CONGELADA, CON HUESO"
