"nm_code","ncomb","cuci_code","cuci","sector"
"        ","- Abulones u orejas de mar (Haliotis spp.) y caracoles de mar (cobos) (Strombus spp.)",,,
"        ","- Aceite de algodón y sus fracciones",,,
"        ","- Aceite de coco (de copra) y sus fracciones",,,
"        ","- Aceite de lino (de linaza) y sus fracciones",,,
"        ","- Aceite de maíz y sus fracciones",,,
"        ","- Aceites de almendra de palma (palmiste) o de babasú, y sus fracciones",,,
"        ","- Aceites de girasol o cártamo, y sus fracciones",,,
"        ","- Aceites de nabo (de nabina) o de colza con bajo contenido de ácido erúcico y sus fracciones",,,
"        ","- Aceites de petróleo o de mineral bituminoso (excepto los aceites crudos) y  preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petróleo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base, excepto las que contengan biodiésel y los desechos de aceites",,,
"        ","- Aceites esenciales [excepto los de agrios (cítricos)]",,,
"        ","- Aceites esenciales de agrios (cítricos)",,,
"        ","- Aceites vegetales fijos, fluidos, mezclados, que se destinen a usos técnicos o industriales (excepto la fabricación de productos para la alimentación humana)",,,
"        ","- Acetatos de celulosa",,,
"        ","- Achicorias, comprendidas la escarola y la endibia",,,
"        ","- Aditivos para aceites lubricantes",,,
"        ","- Agentes de superficie orgánicos aniónicos, incluso acondicionados para la venta al por menor",,,
"        ","- Alambre",,,
"        ","- Alambre para bobinar",,,
"        ","- Alcaloides de la efedra y sus derivados; sales de estos productos",,,
"        ","- Alcaloides del cornezuelo del centeno y sus derivados; sales de estos productos",,,
"        ","- Alcaloides del opio y sus derivados; sales de estos productos",,,
"        ","- Aldehídos acíclicos sin otras funciones oxigenadas",,,
"        ","- Aldehídos cíclicos sin otras funciones oxigenadas",,,
"        ","- Aldehídos-alcoholes, aldehídos-éteres, aldehídos-fenoles y aldehídos con otras funciones oxigenadas",,,
"        ","- Aleaciones de cobre",,,
"        ","- Aletas, cabezas, colas, vejigas natatorias y demás despojos comestibles de pescado",,,
"        ","- Algas",,,
"        ","- Almejas, berberechos y arcas (familias Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae y Veneridae)",,,
"        ","- Almendras",,,
"        ","- Almidón y fécula",,,
"        ","- Altavoces (altoparlantes), incluso montados en sus cajas",,,
"        ","- Amidas acíclicas, incluidos los carbamatos, y sus derivados; sales de estos productos",,,
"        ","- Amidas cíclicas, incluidos los carbamatos, y sus derivados; sales de estos productos",,,
"        ","- Amino-alcoholes (excepto los que contengan funciones oxigenadas diferentes), sus éteres y sus ésteres; sales de estos productos",,,
"        ","- Amino-aldehidos, amino-cetonas y amino-quinonas (excepto los que contengan funciones oxigenadas diferentes); sales de estos productos",,,
"        ","- Amino-naftoles y demás amino-fenoles (excepto los que contengan funciones oxigenadas diferentes), sus éteres y sus ésteres; sales de estos productos",,,
"        ","- Aminoácidos (excepto los que contengan funciones oxigenadas diferentes), y sus ésteres; sales de estos productos",,,
"        ","- Amomos y cardamomos",,,
"        ","- Ampollas de vidrio para termos o demás recipientes isotérmicos aislados por vacío",,,
"        ","- Antisueros (sueros con anticuerpos), demás fracciones de la sangre y productos inmunológicos, incluso modificados u obtenidos por procesos biotecnológicos",,,
"        ","- Anuncios, letreros y placas indicadoras luminosos y artículos similares",,,
"        ","- Aparatos de cocción y calientaplatos",,,
"        ","- Aparatos de electrodiagnóstico (incluidos los aparatos de exploración funcional o de vigilancia de parámetros fisiológicos)",,,
"        ","- Aparatos de entrenamiento de vuelo en tierra y sus partes",,,
"        ","- Aparatos de rayos X, incluso para uso médico, quirúrgico, odontológico o veterinario, incluidos los aparatos de radiografía o radioterapia",,,
"        ","- Aparatos electrotérmicos para el cuidado del cabello o para secar las manos",,,
"        ","- Aparatos eléctricos para calefacción de espacios o suelos",,,
"        ","- Aparatos para filtrar o depurar gases",,,
"        ","- Aparatos para filtrar o depurar líquidos",,,
"        ","- Aparatos que utilicen radiaciones alfa, beta gamma o demás radiaciones ionizantes, incluso para uso médico, quirúrgico, odontológico o veterinario, incluidos los aparatos de radiografía o radioterapia",,,
"        ","- Aparatos receptores de radiodifusión que puedan funcionar sin fuente de energía exterior",,,
"        ","- Aparatos receptores de radiodifusión que solo funcionen con fuente de energía exterior, de los tipos utilizados en vehículos automóviles",,,
"        ","- Aparatos receptores de televisión, incluso con aparato receptor de radiodifusión o de grabación o reproducción de sonido o imagen incorporado",,,
"        ","- Aparatos y artículos para usos químicos o demás usos técnicos",,,
"        ","- Aparatos y dispositivos, incluidos lámparas y tubos, para producir destellos para fotografía",,,
"        ","- Arenques (Clupea harengus, Clupea pallasii), anchoas (Engraulis spp.), sardinas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.), espadines (Sprattus sprattus), caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus), caballas de la India (Rastrelliger spp.), carites (Scomberomorus spp.), jureles (Trachurus spp.), caballas, pámpanos (Caranx spp.), cobias (Rachycentron canadum),  palometones plateados (Pampus spp.), papardas del Pacífico (Cololabis saira), macarelas (Decapterus spp.), capelanes (Mallotus villosus), peces espada (Xiphias gladius), bacoretas orientales (Euthynnus affinis), bonitos (Sarda spp.), agujas, marlines, peces vela o picudos (Istiophoridae), excepto los despojos comestibles de pescado de las subpartidas 030391 a 030399",,,
"        ","- Arenques (Clupea harengus, Clupea pallasii), anchoas (Engraulis spp.), sardinas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.), espadines (Sprattus sprattus), caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus), caballas de la India (Rastrelliger spp.), carites (Scomberomorus spp.), jureles (Trachurus spp.), pámpanos (Caranx spp.), cobias (Rachycentron canadum), palometones plateados (Pampus spp.), papardas del Pacífico (Cololabis saira), macarelas (Decapterus spp.), capelanes (Mallotus villosus), peces espada (Xiphias gladius), bacoretas orientales (Euthynnus affinis), bonitos (Sarda spp.), agujas, marlines, peces vela o picudos (Istiophoridae), excepto los despojos comestibles de pescado de las subpartidas 030291 a 030299",,,
"        ","- Aromáticos",,,
"        ","- Artículos de bolsillo o de bolso de mano (carteras)",,,
"        ","- Artículos para el servicio de mesa o cocina",,,
"        ","- Artículos para servicio de mesa (excluidos los recipientes para beber) o cocina (excepto los de vitrocerámica)",,,
"        ","- Artículos roscados",,,
"        ","- Artículos sin rosca",,,
"        ","- Artículos y aparatos de prótesis dental",,,
"        ","- Aserrín, desperdicios y desechos, de madera, aglomerados en leños, briquetas, «pellets» o formas similares",,,
"        ","- Aserrín, desperdicios y desechos, de madera, sin aglomerar",,,
"        ","- Asientos de roten (ratán), mimbre, bambú o materias similares",,,
"        ","- Asientos giratorios de altura ajustable",,,
"        ","- Asientos transformables en cama, excepto el material de acampar o de jardín",,,
"        ","- Atracciones para parques de diversiones y atracciones de parques acuáticos",,,
"        ","- Atunes (del género Thunnus), listados (bonitos de vientre rayado)  (Katsuwonus pelamis), excepto los despojos comestibles de pescado de las subpartidas 030291 a 030299",,,
"        ","- Atunes (del género Thunnus), listados (bonitos de vientre rayado) (Katsuwonus pelamis), excepto los despojos comestibles de pescado de las subpartidas 030391 a 030399",,,
"        ","- Avellanas (Corylus spp.)",,,
"        ","- Aves",,,
"        ","- Azúcar en bruto sin adición de aromatizante ni colorante",,,
"        ","- Balones y pelotas, excepto las de golf o tenis de mesa",,,
"        ","- Bandejas, fuentes, platos, tazas, vasos y artículos similares, de papel o cartón",,,
"        ","- Barcos de motor, distintos de los inflables, excepto los de motor fueraborda",,,
"        ","- Barcos de vela, distintos de los inflables, incluso con motor auxiliar",,,
"        ","- Barcos empujadores",,,
"        ","- Barras simplemente laminadas o extrudidas en caliente",,,
"        ","- Barras y perfiles",,,
"        ","- Bañadores",,,
"        ","- Bañadores para hombres o niños",,,
"        ","- Bañadores para mujeres o niñas",,,
"        ","- Bañeras",,,
"        ","- Baúles, maletas (valijas) y maletines, incluidos los de aseo y los portadocumentos, portafolios (carteras de mano), cartapacios y continentes similares",,,
"        ","- Berilio",,,
"        ","- Blanqueados",,,
"        ","- Blanqueados",,,
"        ","- Blanqueados",,,
"        ","- Bojes, «bissels», ejes y ruedas, y sus partes",,,
"        ","- Bolsos de mano (carteras), incluso con bandolera o sin asas",,,
"        ","- Bombas equipadas o diseñadas para equiparlas con dispositivo medidor",,,
"        ","- Botones",,,
"        ","- Bovinos domésticos",,,
"        ","- Bragas (bombachas, calzones), incluso las que no llegan hasta la cintura",,,
"        ","- Bromuros y oxibromuros",,,
"        ","- Búfalos",,,
"        ","- Caballos",,,
"        ","- Cadenas de eslabones articulados y sus partes",,,
"        ","- Cadmio",,,
"        ","- Café sin tostar",,,
"        ","- Café tostado",,,
"        ","- Calderas de vapor",,,
"        ","- Calentadores de agua de calentamiento instantáneo o de acumulación (excepto los eléctricos)",,,
"        ","- Calzado con suela de caucho o plástico",,,
"        ","- Calzado de deporte",,,
"        ","- Calzado de deporte",,,
"        ","- Calzoncillos (incluidos los largos y los slip)",,,
"        ","- Calzoncillos (incluidos los largos y los slips)",,,
"        ","- Camarones, langostinos y demás decápodos Natantia",,,
"        ","- Camisones y pijamas",,,
"        ","- Camisones y pijamas",,,
"        ","- Camisones y pijamas",,,
"        ","- Camisones y pijamas",,,
"        ","- Carne de la especie porcina",,,
"        ","- Carretillas",,,
"        ","- Cartuchos para armas largas con cañón de ánima lisa y sus partes; balines para armas de aire comprimido",,,
"        ","- Castañas (Castanea spp.)",,,
"        ","- Catalizadores sobre soporte",,,
"        ","- Caucho acrilonitrilo-butadieno (NBR)",,,
"        ","- Caucho cloropreno (clorobutadieno) (CR)",,,
"        ","- Caucho estireno-butadieno (SBR); caucho estireno-butadieno carboxilado (XSBR)",,,
"        ","- Caucho isobuteno-isopreno (butilo) (IIR); caucho isobuteno-isopreno halogenado (CIIR o BIIR)",,,
"        ","- Caucho natural en otras formas",,,
"        ","- Caviar y sus sucedáneos",,,
"        ","- Cemento Pórtland",,,
"        ","- Centrifugadoras, incluidas las secadoras centrífugas",,,
"        ","- Cepillos de dientes, brochas de afeitar, cepillos para cabello, pestañas o uñas y demás cepillos para aseo personal, incluidos los que sean partes de aparatos",,,
"        ","- Cerezas",,,
"        ","- Cetonas acíclicas sin otras funciones oxigenadas",,,
"        ","- Cetonas aromáticas sin otras funciones oxigenadas",,,
"        ","- Cetonas ciclánicas, ciclénicas o cicloterpénicas, sin otras funciones oxigenadas",,,
"        ","- Chapas, hojas y tiras",,,
