code,prov_name,caut_name
01,Álava,País Vasco
02,Albacete,Castilla-La Mancha
03,Alicante,Comunitat Valenciana
04,Almería,Andalucía
05,Ávila,Castilla y León
06,Badajoz,Extremadura
07,Islas Baleares,Islas Baleares
08,Barcelona,Cataluña
09,Burgos,Castilla y León
10,Cáceres,Extremadura
11,Cádiz,Andalucía
12,Castellón,Comunitat Valenciana
13,Ciudad Real,Castilla-La Mancha
14,Córdoba,Andalucía
15,A Coruña,Galicia
16,Cuenca,Castilla-La Mancha
17,Girona,Cataluña
18,Granada,Andalucía
19,Guadalajara,Castilla-La Mancha
20,Guipúzcoa,País Vasco
21,Huelva,Andalucía
22,Huesca,Aragón
23,Jaén,Andalucía
24,León,Castilla y León
25,Lleida,Cataluña
26,La Rioja,"Rioja, La"
27,Lugo,Galicia
28,Madrid,Comunidad de Madrid
29,Málaga,Andalucía
30,Murcia,Región de Murcia
31,Navarra,Comunidad Foral de Navarra
32,Ourense,Galicia
33,Asturias,Principado de Asturias
34,Palencia,Comunitat Valenciana
35,Las Palmas,Canarias
36,Pontevedra,Galicia
37,Salamanca,Castilla y León
38,Santa Cruz de Tenerife,Canarias
39,Cantabria,Cantabria
40,Segovia,Castilla y León
41,Sevilla,Andalucía
42,Soria,Castilla y León
43,Tarragona,Cataluña
44,Teruel,Aragón
45,Toledo,Castilla-La Mancha
46,Valencia,Comunitat Valenciana
47,Valladolid,Castilla y León
48,Vizcaya,País Vasco
49,Zamora,Castilla y León
50,Zaragoza,Aragón
51,Ceuta,Ceuta
52,Melilla,Melilla
55,Ceuta,Ceuta
56,Melilla,Melilla
61,Fuerteventura,Canarias
62,Lanzarote,Canarias
63,Gran Canaria,Canarias
64,La Gomera,Canarias
65,El Hierro,Canarias
66,La Palma,Canarias
67,Tenerife,Canarias
90,Var. Prov. Comunidad,Var. Prov. Comunidad
91,Servicios centrales,Servicios centrales
92,Extranjero,Extranjero
93,No regionalizable,No regionalizable
94,Organismos publicos,Organismos publicos
95,Deuda publica,Deuda publica
96,Otros organismos y empresas,Otros organismos y empresas
97,Anticipos de tesoreria,Anticipos de tesoreria
99,No codificado,No codificado
